Commodity,State,Units,Year,Value,
Soybeans,Illinois,Million dollars,2007,1549.785333,
Soybeans,Illinois,Million dollars,2008,2063.451525,
Soybeans,Illinois,Million dollars,2009,2333.857498,
Soybeans,Illinois,Million dollars,2010,2637.352001,
Soybeans,Illinois,Million dollars,2011,2567.317126,
Soybeans,Illinois,Million dollars,2012,3438.451984,
Soybeans,Illinois,Million dollars,2013,2759.763967,
Soybeans,Illinois,Million dollars,2014,3395.357557,
Soybeans,Illinois,Million dollars,2015,2709.289088,
Soybeans,Illinois,Million dollars,2016,3120.45327,
Soybeans,Illinois,Million dollars,2017,3031.8419,
Soybeans,Illinois,Million dollars,2018,2632.382018,
Soybeans,Illinois,Million dollars,2019,3003.066469,
Soybeans,Illinois,Million dollars,2020,3549.510029,
Soybeans,Illinois,Million dollars,2021,3917.053728,
Soybeans,Illinois,Million dollars,2022,5506.142762,
Tobacco,Illinois,Million dollars,2000,0,
Tobacco,Illinois,Million dollars,2001,0,
Tobacco,Illinois,Million dollars,2002,0,
Tobacco,Illinois,Million dollars,2003,0,
Tobacco,Illinois,Million dollars,2004,0,
Tobacco,Illinois,Million dollars,2005,0,
Tobacco,Illinois,Million dollars,2006,0,
Tobacco,Illinois,Million dollars,2007,0,
Tobacco,Illinois,Million dollars,2008,0,
Tobacco,Illinois,Million dollars,2009,0,
Tobacco,Illinois,Million dollars,2010,0,
Tobacco,Illinois,Million dollars,2011,0,
Tobacco,Illinois,Million dollars,2012,0,
Tobacco,Illinois,Million dollars,2013,0,
Tobacco,Illinois,Million dollars,2014,0,
Tobacco,Illinois,Million dollars,2015,0,
Tobacco,Illinois,Million dollars,2016,0,
Tobacco,Illinois,Million dollars,2017,0,
Tobacco,Illinois,Million dollars,2018,0,
Tobacco,Illinois,Million dollars,2019,0,
Tobacco,Illinois,Million dollars,2020,0,
Tobacco,Illinois,Million dollars,2021,0,
Tobacco,Illinois,Million dollars,2022,0,
Total agricultural exports,Illinois,Million dollars,2000,3115.332967,
Total agricultural exports,Illinois,Million dollars,2001,3313.32929,
Total agricultural exports,Illinois,Million dollars,2002,3376.606404,
Total agricultural exports,Illinois,Million dollars,2003,3736.54632,
Total agricultural exports,Illinois,Million dollars,2004,3776.290372,
Total agricultural exports,Illinois,Million dollars,2005,3704.580244,
Total agricultural exports,Illinois,Million dollars,2006,4101.50598,
Total agricultural exports,Illinois,Million dollars,2007,5871.083002,
Total agricultural exports,Illinois,Million dollars,2008,7678.999565,
Total agricultural exports,Illinois,Million dollars,2009,6748.855798,
Total agricultural exports,Illinois,Million dollars,2010,7579.211292,
Total agricultural exports,Illinois,Million dollars,2011,8685.806308,
Total agricultural exports,Illinois,Million dollars,2012,8810.134468,
Total agricultural exports,Illinois,Million dollars,2013,7374.672143,
Total agricultural exports,Illinois,Million dollars,2014,9416.424475,
Total agricultural exports,Illinois,Million dollars,2015,7960.364353,
Total agricultural exports,Illinois,Million dollars,2016,8233.9052,
Total agricultural exports,Illinois,Million dollars,2017,8006.372804,
Total agricultural exports,Illinois,Million dollars,2018,8531.85455,
Total agricultural exports,Illinois,Million dollars,2019,7860.859551,
Total agricultural exports,Illinois,Million dollars,2020,8756.906828,
Total agricultural exports,Illinois,Million dollars,2021,11219.81458,
Total agricultural exports,Illinois,Million dollars,2022,13690.18217,
Total animal products,Illinois,Million dollars,2000,207.3894916,
Total animal products,Illinois,Million dollars,2001,244.7601232,
Total animal products,Illinois,Million dollars,2002,226.1473742,
Total animal products,Illinois,Million dollars,2003,250.8876124,
Total animal products,Illinois,Million dollars,2004,245.7519008,
Total animal products,Illinois,Million dollars,2005,270.483633,
Total animal products,Illinois,Million dollars,2006,284.9202692,
Total animal products,Illinois,Million dollars,2007,333.1300409,
Total animal products,Illinois,Million dollars,2008,454.7534128,
Total animal products,Illinois,Million dollars,2009,403.1136053,
Total animal products,Illinois,Million dollars,2010,496.5824598,
Total animal products,Illinois,Million dollars,2011,604.8241669,
Total animal products,Illinois,Million dollars,2012,624.1089935,
Total animal products,Illinois,Million dollars,2013,641.5491486,
Total animal products,Illinois,Million dollars,2014,693.0063379,
Total animal products,Illinois,Million dollars,2015,539.891097,
Total animal products,Illinois,Million dollars,2016,564.6270565,
Total animal products,Illinois,Million dollars,2017,617.7816245,
Total animal products,Illinois,Million dollars,2018,568.5841792,
Total animal products,Illinois,Million dollars,2019,604.1516234,
Total animal products,Illinois,Million dollars,2020,745.3657195,
Total animal products,Illinois,Million dollars,2021,795.5382038,
Total animal products,Illinois,Million dollars,2022,785.3259257,
Total plant products,Illinois,Million dollars,2000,2907.943475,
Total plant products,Illinois,Million dollars,2001,3068.569167,
Total plant products,Illinois,Million dollars,2002,3150.45903,
Total plant products,Illinois,Million dollars,2003,3485.658708,
Total plant products,Illinois,Million dollars,2004,3530.538472,
Total plant products,Illinois,Million dollars,2005,3434.096611,
Total plant products,Illinois,Million dollars,2006,3816.585711,
Total plant products,Illinois,Million dollars,2007,5537.952961,
Total plant products,Illinois,Million dollars,2008,7224.246152,
Total plant products,Illinois,Million dollars,2009,6345.742193,
Total plant products,Illinois,Million dollars,2010,7082.628832,
Total plant products,Illinois,Million dollars,2011,8080.982141,
Total plant products,Illinois,Million dollars,2012,8186.025475,
Total plant products,Illinois,Million dollars,2013,6733.122995,
Total plant products,Illinois,Million dollars,2014,8723.418137,
Total plant products,Illinois,Million dollars,2015,7420.473256,
Total plant products,Illinois,Million dollars,2016,7669.278143,
Total plant products,Illinois,Million dollars,2017,7388.59118,
Total plant products,Illinois,Million dollars,2018,7963.270371,
Total plant products,Illinois,Million dollars,2019,7256.707928,
Total plant products,Illinois,Million dollars,2020,8011.541108,
Total plant products,Illinois,Million dollars,2021,10424.27637,
Total plant products,Illinois,Million dollars,2022,12904.85624,
Tree nuts,Illinois,Million dollars,2000,0,
Tree nuts,Illinois,Million dollars,2001,0,
Tree nuts,Illinois,Million dollars,2002,0,
Tree nuts,Illinois,Million dollars,2003,0,
Tree nuts,Illinois,Million dollars,2004,0,
Tree nuts,Illinois,Million dollars,2005,0,
Tree nuts,Illinois,Million dollars,2006,0,
Tree nuts,Illinois,Million dollars,2007,0,
Tree nuts,Illinois,Million dollars,2008,0,
Tree nuts,Illinois,Million dollars,2009,0,
Tree nuts,Illinois,Million dollars,2010,0,
Tree nuts,Illinois,Million dollars,2011,0,
Tree nuts,Illinois,Million dollars,2012,0,
Tree nuts,Illinois,Million dollars,2013,0,
Tree nuts,Illinois,Million dollars,2014,0,
Tree nuts,Illinois,Million dollars,2015,0,
Tree nuts,Illinois,Million dollars,2016,0,
Tree nuts,Illinois,Million dollars,2017,0,
Tree nuts,Illinois,Million dollars,2018,0,
Tree nuts,Illinois,Million dollars,2019,0,
Tree nuts,Illinois,Million dollars,2020,0,
Tree nuts,Illinois,Million dollars,2021,0,
Tree nuts,Illinois,Million dollars,2022,0,
Vegetable oils,Illinois,Million dollars,2000,204.4084712,
Vegetable oils,Illinois,Million dollars,2001,199.1806198,
Vegetable oils,Illinois,Million dollars,2002,263.6629059,
Vegetable oils,Illinois,Million dollars,2003,258.5946993,
Vegetable oils,Illinois,Million dollars,2004,255.8140161,
Vegetable oils,Illinois,Million dollars,2005,253.8056781,
Vegetable oils,Illinois,Million dollars,2006,266.6482916,
Vegetable oils,Illinois,Million dollars,2007,402.5627114,
Vegetable oils,Illinois,Million dollars,2008,511.4488755,
Vegetable oils,Illinois,Million dollars,2009,420.4944923,
Vegetable oils,Illinois,Million dollars,2010,525.9523702,
Vegetable oils,Illinois,Million dollars,2011,579.215818,
Vegetable oils,Illinois,Million dollars,2012,564.9770446,
Vegetable oils,Illinois,Million dollars,2013,450.1300573,
Vegetable oils,Illinois,Million dollars,2014,464.4510503,
Vegetable oils,Illinois,Million dollars,2015,447.4687969,
Vegetable oils,Illinois,Million dollars,2016,418.2681076,
Vegetable oils,Illinois,Million dollars,2017,446.1294974,
Vegetable oils,Illinois,Million dollars,2018,458.9071125,
Vegetable oils,Illinois,Million dollars,2019,450.0159462,
Vegetable oils,Illinois,Million dollars,2020,431.8904426,
Vegetable oils,Illinois,Million dollars,2021,536.3364196,
Vegetable oils,Illinois,Million dollars,2022,650.2947094,
"Vegetables, fresh",Illinois,Million dollars,2000,6.113966747,
"Vegetables, fresh",Illinois,Million dollars,2001,5.984543495,
"Vegetables, fresh",Illinois,Million dollars,2002,4.729140971,
"Vegetables, fresh",Illinois,Million dollars,2003,11.76224909,
"Vegetables, fresh",Illinois,Million dollars,2004,13.42498832,
"Vegetables, fresh",Illinois,Million dollars,2005,14.88810856,
"Vegetables, fresh",Illinois,Million dollars,2006,16.84801475,
"Vegetables, fresh",Illinois,Million dollars,2007,18.5747707,
"Vegetables, fresh",Illinois,Million dollars,2008,9.602281304,
"Vegetables, fresh",Illinois,Million dollars,2009,8.624262129,
"Vegetables, fresh",Illinois,Million dollars,2010,9.732946328,
"Vegetables, fresh",Illinois,Million dollars,2011,11.74580648,
"Vegetables, fresh",Illinois,Million dollars,2012,16.79677609,
"Vegetables, fresh",Illinois,Million dollars,2013,16.58099655,
"Vegetables, fresh",Illinois,Million dollars,2014,18.05579325,
"Vegetables, fresh",Illinois,Million dollars,2015,7.245744031,
"Vegetables, fresh",Illinois,Million dollars,2016,14.52412892,
"Vegetables, fresh",Illinois,Million dollars,2017,9.663337821,
"Vegetables, fresh",Illinois,Million dollars,2018,9.90552016,
"Vegetables, fresh",Illinois,Million dollars,2019,6.44802544,
"Vegetables, fresh",Illinois,Million dollars,2020,6.301220099,
"Vegetables, fresh",Illinois,Million dollars,2021,7.870508628,
"Vegetables, fresh",Illinois,Million dollars,2022,6.134224002,
"Vegetables, processed",Illinois,Million dollars,2000,9.304128886,
"Vegetables, processed",Illinois,Million dollars,2001,9.012037929,
"Vegetables, processed",Illinois,Million dollars,2002,6.697298496,
"Vegetables, processed",Illinois,Million dollars,2003,15.37215907,
"Vegetables, processed",Illinois,Million dollars,2004,18.03106717,
"Vegetables, processed",Illinois,Million dollars,2005,19.51760309,
"Vegetables, processed",Illinois,Million dollars,2006,22.17822106,
"Vegetables, processed",Illinois,Million dollars,2007,25.49188639,
"Vegetables, processed",Illinois,Million dollars,2008,15.56256727,
"Vegetables, processed",Illinois,Million dollars,2009,13.89592759,
"Vegetables, processed",Illinois,Million dollars,2010,15.15691893,
"Vegetables, processed",Illinois,Million dollars,2011,19.06171083,
"Vegetables, processed",Illinois,Million dollars,2012,31.51713887,
"Vegetables, processed",Illinois,Million dollars,2013,29.81366609,
"Vegetables, processed",Illinois,Million dollars,2014,34.39119126,
"Vegetables, processed",Illinois,Million dollars,2015,13.84598964,
"Vegetables, processed",Illinois,Million dollars,2016,28.14556536,
"Vegetables, processed",Illinois,Million dollars,2017,18.14014062,
"Vegetables, processed",Illinois,Million dollars,2018,16.63105651,
"Vegetables, processed",Illinois,Million dollars,2019,10.81939085,
"Vegetables, processed",Illinois,Million dollars,2020,10.39459039,
"Vegetables, processed",Illinois,Million dollars,2021,13.34604931,
"Vegetables, processed",Illinois,Million dollars,2022,10.53897529,
Wheat,Illinois,Million dollars,2000,79.9148575,
Wheat,Illinois,Million dollars,2001,61.4384939,
Wheat,Illinois,Million dollars,2002,69.40135691,
Wheat,Illinois,Million dollars,2003,90.13109147,
Wheat,Illinois,Million dollars,2004,121.1991343,
Wheat,Illinois,Million dollars,2005,72.12114157,
Wheat,Illinois,Million dollars,2006,130.6417558,
Wheat,Illinois,Million dollars,2007,179.0564757,
Wheat,Illinois,Million dollars,2008,282.0714651,
Wheat,Illinois,Million dollars,2009,110.1299647,
Wheat,Illinois,Million dollars,2010,59.72462699,
Wheat,Illinois,Million dollars,2011,229.2342637,
Wheat,Illinois,Million dollars,2012,122.4911171,
Wheat,Illinois,Million dollars,2013,288.9421339,
Wheat,Illinois,Million dollars,2014,149.7240607,
Wheat,Illinois,Million dollars,2015,89.11179724,
Wheat,Illinois,Million dollars,2016,81.10744768,
Wheat,Illinois,Million dollars,2017,116.5557965,
Wheat,Illinois,Million dollars,2018,101.0545695,
Wheat,Illinois,Million dollars,2019,120.4851351,
Wheat,Illinois,Million dollars,2020,142.9063055,
Wheat,Illinois,Million dollars,2021,174.2186344,
Wheat,Illinois,Million dollars,2022,219.6844572,
Beef and veal,Indiana,Million dollars,2000,21.14730591,
Beef and veal,Indiana,Million dollars,2001,18.11620343,
Beef and veal,Indiana,Million dollars,2002,17.1180185,
Beef and veal,Indiana,Million dollars,2003,19.08701333,
Beef and veal,Indiana,Million dollars,2004,3.752644956,
Beef and veal,Indiana,Million dollars,2005,6.610432325,
Beef and veal,Indiana,Million dollars,2006,11.29143616,
Beef and veal,Indiana,Million dollars,2007,14.48569825,
Beef and veal,Indiana,Million dollars,2008,16.73847205,
Beef and veal,Indiana,Million dollars,2009,15.40821304,
Beef and veal,Indiana,Million dollars,2010,21.7476527,
Beef and veal,Indiana,Million dollars,2011,21.8535591,
Beef and veal,Indiana,Million dollars,2012,31.12306534,
Beef and veal,Indiana,Million dollars,2013,27.30696432,
Beef and veal,Indiana,Million dollars,2014,38.4351548,
Beef and veal,Indiana,Million dollars,2015,34.55148018,
Beef and veal,Indiana,Million dollars,2016,37.8500295,
Beef and veal,Indiana,Million dollars,2017,42.12456334,
Beef and veal,Indiana,Million dollars,2018,43.32879929,
Beef and veal,Indiana,Million dollars,2019,48.11906678,
Beef and veal,Indiana,Million dollars,2020,40.6184247,
Beef and veal,Indiana,Million dollars,2021,58.17310461,
Beef and veal,Indiana,Million dollars,2022,62.58027632,
Broiler meat,Indiana,Million dollars,2000,5.017395763,
Broiler meat,Indiana,Million dollars,2001,4.878606817,
Broiler meat,Indiana,Million dollars,2002,3.434616177,
Broiler meat,Indiana,Million dollars,2003,3.936211739,
Broiler meat,Indiana,Million dollars,2004,4.66208843,
Broiler meat,Indiana,Million dollars,2005,5.266540062,
Broiler meat,Indiana,Million dollars,2006,4.660388828,
Broiler meat,Indiana,Million dollars,2007,8.643897881,
Broiler meat,Indiana,Million dollars,2008,13.71949415,
Broiler meat,Indiana,Million dollars,2009,12.60064823,
Broiler meat,Indiana,Million dollars,2010,11.85817924,
Broiler meat,Indiana,Million dollars,2011,14.10974137,
Broiler meat,Indiana,Million dollars,2012,20.68627405,
Broiler meat,Indiana,Million dollars,2013,20.60352261,
Broiler meat,Indiana,Million dollars,2014,19.4446499,
Broiler meat,Indiana,Million dollars,2015,14.52895474,
Broiler meat,Indiana,Million dollars,2016,13.60595733,
Broiler meat,Indiana,Million dollars,2017,15.18184673,
Broiler meat,Indiana,Million dollars,2018,14.93018253,
Broiler meat,Indiana,Million dollars,2019,14.97055139,
Broiler meat,Indiana,Million dollars,2020,15.47195672,
Broiler meat,Indiana,Million dollars,2021,18.47484533,
Broiler meat,Indiana,Million dollars,2022,20.99754445,
Corn,Indiana,Million dollars,2000,374.4355617,
Corn,Indiana,Million dollars,2001,454.3443574,
Corn,Indiana,Million dollars,2002,397.3490663,
Corn,Indiana,Million dollars,2003,350.7004725,
Corn,Indiana,Million dollars,2004,494.0400546,
Corn,Indiana,Million dollars,2005,384.7188638,
Corn,Indiana,Million dollars,2006,563.60164,
Corn,Indiana,Million dollars,2007,818.681771,
Corn,Indiana,Million dollars,2008,1083.805485,
Corn,Indiana,Million dollars,2009,666.0607871,
Corn,Indiana,Million dollars,2010,725.7707415,
Corn,Indiana,Million dollars,2011,1110.404456,
Corn,Indiana,Million dollars,2012,630.3692492,
Corn,Indiana,Million dollars,2013,399.5253062,
Corn,Indiana,Million dollars,2014,859.012186,
Corn,Indiana,Million dollars,2015,640.0485123,
Corn,Indiana,Million dollars,2016,642.0468898,
Corn,Indiana,Million dollars,2017,665.8844289,
Corn,Indiana,Million dollars,2018,843.451564,
Corn,Indiana,Million dollars,2019,543.4097325,
Corn,Indiana,Million dollars,2020,629.9686523,
Corn,Indiana,Million dollars,2021,1303.870858,
Corn,Indiana,Million dollars,2022,1347.179517,
Cotton,Indiana,Million dollars,2000,0,
Cotton,Indiana,Million dollars,2001,0,
Cotton,Indiana,Million dollars,2002,0,
Cotton,Indiana,Million dollars,2003,0,
Cotton,Indiana,Million dollars,2004,0,
Cotton,Indiana,Million dollars,2005,0,
Cotton,Indiana,Million dollars,2006,0,
Cotton,Indiana,Million dollars,2007,0,
Cotton,Indiana,Million dollars,2008,0,
Cotton,Indiana,Million dollars,2009,0,
Cotton,Indiana,Million dollars,2010,0,
Cotton,Indiana,Million dollars,2011,0,
Cotton,Indiana,Million dollars,2012,0,
Cotton,Indiana,Million dollars,2013,0,
Cotton,Indiana,Million dollars,2014,0,
Cotton,Indiana,Million dollars,2015,0,
Cotton,Indiana,Million dollars,2016,0,
Cotton,Indiana,Million dollars,2017,0,
Cotton,Indiana,Million dollars,2018,0,
Cotton,Indiana,Million dollars,2019,0,
Cotton,Indiana,Million dollars,2020,0,
Cotton,Indiana,Million dollars,2021,0,
Cotton,Indiana,Million dollars,2022,0,
Dairy products,Indiana,Million dollars,2000,14.49552294,
Dairy products,Indiana,Million dollars,2001,17.95394399,
Dairy products,Indiana,Million dollars,2002,14.76575803,
Dairy products,Indiana,Million dollars,2003,17.76911428,
Dairy products,Indiana,Million dollars,2004,26.61878132,
Dairy products,Indiana,Million dollars,2005,30.33966803,
Dairy products,Indiana,Million dollars,2006,34.08257305,
Dairy products,Indiana,Million dollars,2007,55.58034269,
Dairy products,Indiana,Million dollars,2008,68.86616202,
Dairy products,Indiana,Million dollars,2009,41.94954241,
Dairy products,Indiana,Million dollars,2010,69.16132727,
Dairy products,Indiana,Million dollars,2011,89.77564663,
Dairy products,Indiana,Million dollars,2012,98.32438447,
Dairy products,Indiana,Million dollars,2013,131.555831,
Dairy products,Indiana,Million dollars,2014,134.7738748,
Dairy products,Indiana,Million dollars,2015,98.99050433,
Dairy products,Indiana,Million dollars,2016,90.54768421,
Dairy products,Indiana,Million dollars,2017,105.8818476,
Dairy products,Indiana,Million dollars,2018,100.9734623,
Dairy products,Indiana,Million dollars,2019,107.4907343,
Dairy products,Indiana,Million dollars,2020,119.6448425,
Dairy products,Indiana,Million dollars,2021,151.7093943,
Dairy products,Indiana,Million dollars,2022,187.0726053,
Feeds and other feed grains,Indiana,Million dollars,2000,209.6016609,
Feeds and other feed grains,Indiana,Million dollars,2001,261.3850769,
Feeds and other feed grains,Indiana,Million dollars,2002,201.5828096,
Feeds and other feed grains,Indiana,Million dollars,2003,194.0032951,
Feeds and other feed grains,Indiana,Million dollars,2004,217.5789082,
Feeds and other feed grains,Indiana,Million dollars,2005,213.6366491,
Feeds and other feed grains,Indiana,Million dollars,2006,250.4861683,
Feeds and other feed grains,Indiana,Million dollars,2007,335.242937,
Feeds and other feed grains,Indiana,Million dollars,2008,434.0102354,
Feeds and other feed grains,Indiana,Million dollars,2009,347.6842267,
Feeds and other feed grains,Indiana,Million dollars,2010,418.3037032,
Feeds and other feed grains,Indiana,Million dollars,2011,541.7327657,
Feeds and other feed grains,Indiana,Million dollars,2012,473.5977385,
Feeds and other feed grains,Indiana,Million dollars,2013,500.8748782,
Feeds and other feed grains,Indiana,Million dollars,2014,702.3486897,
Feeds and other feed grains,Indiana,Million dollars,2015,691.1290979,
Feeds and other feed grains,Indiana,Million dollars,2016,492.2492194,
Feeds and other feed grains,Indiana,Million dollars,2017,523.3452777,
Feeds and other feed grains,Indiana,Million dollars,2018,511.610147,
Feeds and other feed grains,Indiana,Million dollars,2019,504.6917503,
Feeds and other feed grains,Indiana,Million dollars,2020,545.4981078,
Feeds and other feed grains,Indiana,Million dollars,2021,708.5069811,
Feeds and other feed grains,Indiana,Million dollars,2022,835.5753448,
"Fruits, fresh",Indiana,Million dollars,2000,8.011955295,
"Fruits, fresh",Indiana,Million dollars,2001,10.38112206,
"Fruits, fresh",Indiana,Million dollars,2002,9.875438389,
"Fruits, fresh",Indiana,Million dollars,2003,12.06923181,
"Fruits, fresh",Indiana,Million dollars,2004,11.34455841,
"Fruits, fresh",Indiana,Million dollars,2005,10.21222683,
"Fruits, fresh",Indiana,Million dollars,2006,11.81957352,
"Fruits, fresh",Indiana,Million dollars,2007,9.645731679,
"Fruits, fresh",Indiana,Million dollars,2008,11.53603698,
"Fruits, fresh",Indiana,Million dollars,2009,9.799146075,
"Fruits, fresh",Indiana,Million dollars,2010,12.57494006,
"Fruits, fresh",Indiana,Million dollars,2011,13.76353862,
"Fruits, fresh",Indiana,Million dollars,2012,10.17108219,
"Fruits, fresh",Indiana,Million dollars,2013,13.9888814,
"Fruits, fresh",Indiana,Million dollars,2014,10.28564621,
"Fruits, fresh",Indiana,Million dollars,2015,10.90689626,
"Fruits, fresh",Indiana,Million dollars,2016,8.583603046,
"Fruits, fresh",Indiana,Million dollars,2017,7.415509831,
"Fruits, fresh",Indiana,Million dollars,2018,11.42891396,
"Fruits, fresh",Indiana,Million dollars,2019,6.09112545,
"Fruits, fresh",Indiana,Million dollars,2020,11.0008837,
"Fruits, fresh",Indiana,Million dollars,2021,8.98837888,
"Fruits, fresh",Indiana,Million dollars,2022,13.72498362,
"Fruits, processed",Indiana,Million dollars,2000,7.358396109,
"Fruits, processed",Indiana,Million dollars,2001,9.127501934,
"Fruits, processed",Indiana,Million dollars,2002,8.703762324,
"Fruits, processed",Indiana,Million dollars,2003,10.67745638,
"Fruits, processed",Indiana,Million dollars,2004,10.7975956,
"Fruits, processed",Indiana,Million dollars,2005,8.353803358,
"Fruits, processed",Indiana,Million dollars,2006,10.9273358,
"Fruits, processed",Indiana,Million dollars,2007,9.182534994,
"Fruits, processed",Indiana,Million dollars,2008,10.62459448,
"Fruits, processed",Indiana,Million dollars,2009,8.667474469,
"Fruits, processed",Indiana,Million dollars,2010,11.16412955,
"Fruits, processed",Indiana,Million dollars,2011,12.74209759,
"Fruits, processed",Indiana,Million dollars,2012,8.737818381,
"Fruits, processed",Indiana,Million dollars,2013,12.4067447,
"Fruits, processed",Indiana,Million dollars,2014,9.280990714,
"Fruits, processed",Indiana,Million dollars,2015,10.68977668,
"Fruits, processed",Indiana,Million dollars,2016,8.110837654,
"Fruits, processed",Indiana,Million dollars,2017,6.462126998,
"Fruits, processed",Indiana,Million dollars,2018,9.768525906,
"Fruits, processed",Indiana,Million dollars,2019,5.282457213,
"Fruits, processed",Indiana,Million dollars,2020,9.135795705,
"Fruits, processed",Indiana,Million dollars,2021,7.876627137,
"Fruits, processed",Indiana,Million dollars,2022,13.87351564,
Grain products,Indiana,Million dollars,2000,79.54185352,
Grain products,Indiana,Million dollars,2001,98.23583525,
Grain products,Indiana,Million dollars,2002,90.30846511,
Grain products,Indiana,Million dollars,2003,92.87294883,
Grain products,Indiana,Million dollars,2004,117.2492108,
Grain products,Indiana,Million dollars,2005,120.428322,
Grain products,Indiana,Million dollars,2006,143.4841784,
Grain products,Indiana,Million dollars,2007,179.1713352,
Grain products,Indiana,Million dollars,2008,178.802484,
Grain products,Indiana,Million dollars,2009,175.8330207,
Grain products,Indiana,Million dollars,2010,189.9939724,
Grain products,Indiana,Million dollars,2011,238.9831226,
Grain products,Indiana,Million dollars,2012,214.3991631,
Grain products,Indiana,Million dollars,2013,203.063838,
Grain products,Indiana,Million dollars,2014,254.8768304,
Grain products,Indiana,Million dollars,2015,201.0997535,
Grain products,Indiana,Million dollars,2016,172.0020249,
Grain products,Indiana,Million dollars,2017,188.5953822,
Grain products,Indiana,Million dollars,2018,178.5916514,
Grain products,Indiana,Million dollars,2019,200.8424001,
Grain products,Indiana,Million dollars,2020,192.3448244,
Grain products,Indiana,Million dollars,2021,211.6980369,
Grain products,Indiana,Million dollars,2022,259.77025,
Hides and skins,Indiana,Million dollars,2000,24.22217596,
Hides and skins,Indiana,Million dollars,2001,32.41772035,
Hides and skins,Indiana,Million dollars,2002,25.62428604,
Hides and skins,Indiana,Million dollars,2003,26.70646117,
Hides and skins,Indiana,Million dollars,2004,26.76650728,
Hides and skins,Indiana,Million dollars,2005,27.69165817,
Hides and skins,Indiana,Million dollars,2006,31.77793477,
Hides and skins,Indiana,Million dollars,2007,35.31593761,
Hides and skins,Indiana,Million dollars,2008,37.51376652,
Hides and skins,Indiana,Million dollars,2009,26.41839794,
Hides and skins,Indiana,Million dollars,2010,42.82887315,
Hides and skins,Indiana,Million dollars,2011,46.27737555,
Hides and skins,Indiana,Million dollars,2012,49.32447467,
Hides and skins,Indiana,Million dollars,2013,51.01728017,
Hides and skins,Indiana,Million dollars,2014,48.48185898,
Hides and skins,Indiana,Million dollars,2015,37.57990968,
Hides and skins,Indiana,Million dollars,2016,32.25425267,
Hides and skins,Indiana,Million dollars,2017,34.74070444,
Hides and skins,Indiana,Million dollars,2018,25.73571889,
Hides and skins,Indiana,Million dollars,2019,19.72215083,
Hides and skins,Indiana,Million dollars,2020,13.58377359,
Hides and skins,Indiana,Million dollars,2021,21.84040683,
Hides and skins,Indiana,Million dollars,2022,19.29567343,
Other livestock products,Indiana,Million dollars,2000,18.68818571,
Other livestock products,Indiana,Million dollars,2001,16.5070885,
Other livestock products,Indiana,Million dollars,2002,16.28477319,
Other livestock products,Indiana,Million dollars,2003,16.37016034,
Other livestock products,Indiana,Million dollars,2004,15.24084634,
Other livestock products,Indiana,Million dollars,2005,13.1257603,
Other livestock products,Indiana,Million dollars,2006,12.89885226,
Other livestock products,Indiana,Million dollars,2007,15.69362663,
Other livestock products,Indiana,Million dollars,2008,79.08933472,
Other livestock products,Indiana,Million dollars,2009,85.38819094,
Other livestock products,Indiana,Million dollars,2010,111.6764844,
Other livestock products,Indiana,Million dollars,2011,128.7856587,
Other livestock products,Indiana,Million dollars,2012,118.4184232,
Other livestock products,Indiana,Million dollars,2013,100.7854891,
Other livestock products,Indiana,Million dollars,2014,94.64695101,
Other livestock products,Indiana,Million dollars,2015,108.4108447,
Other livestock products,Indiana,Million dollars,2016,113.0008687,
Other livestock products,Indiana,Million dollars,2017,136.9827213,
Other livestock products,Indiana,Million dollars,2018,134.1765587,
Other livestock products,Indiana,Million dollars,2019,141.1183564,
Other livestock products,Indiana,Million dollars,2020,154.7002796,
Other livestock products,Indiana,Million dollars,2021,200.4910537,
Other livestock products,Indiana,Million dollars,2022,200.9582606,
Other oilseeds and products,Indiana,Million dollars,2000,0.014105851,
Other oilseeds and products,Indiana,Million dollars,2001,0.007828607,
Other oilseeds and products,Indiana,Million dollars,2002,0.01444479,
Other oilseeds and products,Indiana,Million dollars,2003,0.010017819,
Other oilseeds and products,Indiana,Million dollars,2004,0.012490665,
Other oilseeds and products,Indiana,Million dollars,2005,0.001756582,
Other oilseeds and products,Indiana,Million dollars,2006,0,
Other oilseeds and products,Indiana,Million dollars,2007,0,
Other oilseeds and products,Indiana,Million dollars,2008,0,
Other oilseeds and products,Indiana,Million dollars,2009,0,
Other oilseeds and products,Indiana,Million dollars,2010,0,
Other oilseeds and products,Indiana,Million dollars,2011,0,
Other oilseeds and products,Indiana,Million dollars,2012,0,
Other oilseeds and products,Indiana,Million dollars,2013,0,
Other oilseeds and products,Indiana,Million dollars,2014,0,
Other oilseeds and products,Indiana,Million dollars,2015,0,
Other oilseeds and products,Indiana,Million dollars,2016,0,
Other oilseeds and products,Indiana,Million dollars,2017,0,
Other oilseeds and products,Indiana,Million dollars,2018,0,
Other oilseeds and products,Indiana,Million dollars,2019,0,
Other oilseeds and products,Indiana,Million dollars,2020,0,
Other oilseeds and products,Indiana,Million dollars,2021,0,
Other oilseeds and products,Indiana,Million dollars,2022,0,
Other plant products,Indiana,Million dollars,2000,54.51054446,
Other plant products,Indiana,Million dollars,2001,63.48490861,
Other plant products,Indiana,Million dollars,2002,62.77262525,
Other plant products,Indiana,Million dollars,2003,66.52798677,
Other plant products,Indiana,Million dollars,2004,70.88844377,
Other plant products,Indiana,Million dollars,2005,69.37074079,
